station_id,name,state,corridor,elevation_m,latitude,longitude,timestamp,temperature_c,relative_humidity_pct,current_precip_rate_mm_hr,wind_speed_kmh,weather_code,past_24h_rainfall_mm,past_48h_rainfall_mm,past_72h_rainfall_mm,forecast_next_24h_mm,antecedent_rainfall_index,rainfall_hazard_level,dynamic_risk_multiplier
NER_MN_01,Imphal,Manipur,Imphal Valley / NH-2,786,24.817,93.9368,2026-09-05T19:24:27.003768+00:00,22.5,95,0.5,0.4,80,6.3,9.2,20.3,15.7,10.53,NORMAL,1.0
NER_MN_02,Senapati,Manipur,Kohima-Imphal Lifeline / NH-2,1050,25.2681,94.0203,2026-09-05T19:24:27.003768+00:00,20.3,93,0.3,0.7,55,8.1,11.0,14.7,28.8,10.47,NORMAL,1.0
NER_MN_03,Tamenglong,Manipur,High Landslide Zone / NH-37,1260,24.9856,93.4939,2026-09-05T19:24:27.003768+00:00,20.2,99,0.2,1.8,53,11.5,20.1,38.6,13.4,20.43,MODERATE,1.3
NER_MN_04,Churachandpur,Manipur,South Manipur / NH-102B,922,24.3333,93.6833,2026-09-05T19:24:27.003768+00:00,21.8,98,0.4,3.9,80,5.4,9.2,32.7,9.9,13.18,NORMAL,1.0
NER_MN_05,Ukhrul,Manipur,East Manipur / NH-202,1662,25.1167,94.3667,2026-09-05T19:24:27.003768+00:00,16.7,100,0.1,2.2,51,2.6,4.5,8.4,10.8,4.52,NORMAL,1.0
NER_MN_06,Jiribam,Manipur,Assam-Manipur Border / NH-37,30,24.8,93.12,2026-09-05T19:24:27.003768+00:00,24.9,98,0.5,4.4,80,21.4,46.0,82.7,17.4,42.88,HIGH,1.8
NER_MZ_01,Aizawl,Mizoram,Capital / NH-306,1132,23.7307,92.7173,2026-09-05T19:24:27.003768+00:00,19.7,98,0.0,2.7,3,6.5,12.2,33.3,2.2,14.62,NORMAL,1.0
NER_MZ_02,Lunglei,Mizoram,South Mizoram / NH-54,722,22.8833,92.7333,2026-09-05T19:24:27.003768+00:00,21.0,99,0.0,4.8,2,7.1,13.8,53.1,17.1,20.27,MODERATE,1.3
NER_MZ_03,Kolasib,Mizoram,Silchar-Aizawl Lifeline / NH-306,612,24.23,92.68,2026-09-05T19:24:27.003768+00:00,23.0,98,0.0,1.5,3,5.8,15.3,25.3,4.9,13.05,NORMAL,1.0
NER_MZ_04,Champhai,Mizoram,Border Trade Corridor / NH-102B,1334,23.4756,93.3283,2026-09-05T19:24:27.003768+00:00,17.7,100,0.0,1.4,3,3.8,18.9,34.8,2.5,15.32,MODERATE,1.3
NER_MZ_05,Serchhip,Mizoram,Central Mizoram / NH-54,880,23.3411,92.85,2026-09-05T19:24:27.003768+00:00,21.0,99,0.1,2.9,51,7.0,21.6,39.9,5.4,18.88,MODERATE,1.3
NER_NL_01,Kohima,Nagaland,Capital Highway / NH-29,1444,25.6701,94.1077,2026-09-05T19:24:27.003768+00:00,18.9,98,0.3,3.0,55,36.3,86.7,125.9,43.8,71.3,HIGH,1.8
NER_NL_02,Dimapur,Nagaland,Logistics Gateway / NH-29,145,25.9068,93.7274,2026-09-05T19:24:27.003768+00:00,26.5,96,0.0,3.8,2,22.7,25.3,27.7,8.8,24.6,MODERATE,1.3
NER_NL_03,Mokokchung,Nagaland,Central Nagaland / NH-2,1325,26.3253,94.515,2026-09-05T19:24:27.003768+00:00,20.4,89,0.0,1.0,1,15.6,29.9,50.2,14.4,27.82,MODERATE,1.3
NER_NL_04,Wokha,Nagaland,Mid Hills / NH-2,1313,26.1,94.2667,2026-09-05T19:24:27.003768+00:00,17.9,100,0.0,2.1,3,31.8,51.2,64.7,7.2,44.88,HIGH,1.8
NER_NL_05,Mon,Nagaland,North Nagaland / NH-702,897,26.75,95.0333,2026-09-05T19:24:27.003768+00:00,23.5,98,0.0,0.9,1,23.7,55.7,58.1,11.2,40.3,HIGH,1.8
NER_NL_06,Phek,Nagaland,East Hills / NH-202,1450,25.6833,94.5,2026-09-05T19:24:27.003768+00:00,20.2,98,0.0,1.3,3,3.4,13.9,20.8,11.7,10.38,NORMAL,1.0
NER_SK_01,Gangtok,Sikkim,Capital / NH-10,1650,27.3389,88.6065,2026-09-05T19:24:27.003768+00:00,18.9,94,0.1,1.7,51,2.7,5.0,15.8,16.7,6.55,NORMAL,1.0
NER_SK_02,Namchi,Sikkim,South Sikkim / SH-2,1315,27.1667,88.35,2026-09-05T19:24:27.003768+00:00,20.8,94,0.1,0.9,51,31.5,47.5,53.2,33.7,40.92,HIGH,1.8
NER_SK_03,Mangan,Sikkim,North Sikkim Highway (High Risk),956,27.5167,88.5333,2026-09-05T19:24:27.003768+00:00,23.9,96,1.5,1.0,81,49.1,90.0,149.0,54.6,84.3,CRITICAL,2.5
NER_SK_04,Gyalshing,Sikkim,West Sikkim / SH-3,1600,27.2833,88.25,2026-09-05T19:24:27.003768+00:00,20.5,97,0.1,2.7,51,9.6,12.7,17.0,14.5,12.22,NORMAL,1.0
NER_SK_05,Rangpo,Sikkim,WB-Sikkim Gateway / NH-10,330,27.1772,88.5311,2026-09-05T19:24:27.003768+00:00,26.0,93,0.1,1.0,51,8.5,12.7,20.5,11.4,12.55,NORMAL,1.0
NER_TR_01,Agartala,Tripura,Capital / NH-8,12,23.8315,91.2868,2026-09-05T19:24:27.003768+00:00,26.2,93,0.0,10.9,2,4.0,13.1,29.4,7.3,12.62,NORMAL,1.0
NER_TR_02,Dharmanagar,Tripura,North Tripura / NH-8,21,24.3833,92.1667,2026-09-05T19:24:27.003768+00:00,26.0,92,0.0,8.3,2,8.2,12.8,36.1,1.2,16.32,MODERATE,1.3
NER_TR_03,Udaipur,Tripura,South Tripura / NH-8,19,23.5333,91.4833,2026-09-05T19:24:27.003768+00:00,25.5,94,0.0,10.0,2,5.6,21.7,43.0,6.0,18.97,MODERATE,1.3
NER_TR_04,Ambassa,Tripura,Dhalai / NH-8,60,23.9167,91.85,2026-09-05T19:24:27.003768+00:00,25.1,96,0.0,10.8,2,4.6,10.3,40.3,2.4,14.95,NORMAL,1.0
